# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     274      8      -17.7357      -17.7223      0.00168292      35.6109      35.4991      0.023855      
     275      8      -18.614      -18.6128      0.000145771      31.4748      31.4763      0.00499586      
     276      8      -18.7778      -18.7793      0.000183777      30.7293      30.752      0.00728715      
     277      8      -18.7977      -18.8011      0.000434525      30.6774      30.7042      0.00569006      
     278      8      -18.5838      -18.5862      0.000306652      31.5402      31.5381      0.00626308      
     279      8      -18.7808      -18.7833      0.000312799      30.666      30.6892      0.00798939      
     280      8      -18.4098      -18.404      0.000720748      32.5331      32.5238      0.00320733      
     281      8      -18.7446      -18.7454      0.000104352      30.9044      30.9245      0.00649167      
     282      8      -18.7344      -18.7353      0.000119396      30.9597      30.9791      0.00609041      
     283      8      -18.8086      -18.8134      0.00059537      30.6322      30.6599      0.00412212      
     284      8      -18.4242      -18.418      0.000771347      32.4092      32.3877      0.00634439      
     285      8      -18.5381      -18.5341      0.000490852      31.8766      31.8716      0.00478863      
     286      8      -18.6645      -18.6683      0.000473267      31.1584      31.1686      0.00747031      
     287      8      -18.6072      -18.6067      5.82493e-05      31.6069      31.6208      0.00523286      
     288      8      -18.7868      -18.7886      0.000222142      30.697      30.721      0.00719838      
     289      8      -18.7422      -18.7508      0.00107169      30.7402      30.7644      0.00992262      
     290      8      -17.7104      -17.6965      0.00172715      35.725      35.6099      0.0246765      
     291      8      -18.8043      -18.8073      0.0003773      30.6356      30.6624      0.00653701      
     292      8      -18.447      -18.444      0.000372033      32.235      32.2105      0.0077757      
     293      8      -18.7457      -18.7546      0.00110641      30.7189      30.7441      0.010131      
     294      8      -18.7936      -18.7963      0.000337913      30.6836      30.7091      0.00657495      
     295      8      -18.6048      -18.6032      0.000198516      31.5207      31.5215      0.0047771      
     296      8      -18.7764      -18.778      0.000192487      30.748      30.7711      0.00702798      
     297      8      -17.9971      -17.985      0.00150201      34.4355      34.3665      0.0138052      
     298      8      -18.367      -18.3704      0.000421834      32.4831      32.4473      0.0118812      
     299      8      -17.9345      -17.9284      0.000761451      34.5167      34.3999      0.0238966      
     300      8      -18.7022      -18.7086      0.0008006      30.9516      30.9685      0.00875725      
     301      8      -18.621      -18.6201      0.000119069      31.437      31.4397      0.00512888      
     302      8      -18.7891      -18.7918      0.000342766      30.7105      30.7362      0.00626785      
     303      8      -17.4803      -17.4669      0.00167609      36.7324      36.5723      0.0346116      
     304      8      -18.3203      -18.3127      0.000940103      32.9535      32.9336      0.00395289      
     305      8      -18.6878      -18.6875      4.22844e-05      31.1873      31.2031      0.00537587      
     306      8      -18.7804      -18.7823      0.000240433      30.7331      30.7565      0.00690355      
     307      8      -18.6136      -18.6113      0.000282445      31.5361      31.5427      0.0044306      
     308      8      -18.5227      -18.5282      0.000686948      31.7669      31.7574      0.00843825      
     309      8      -18.773      -18.7751      0.000257835      30.7119      30.734      0.00775862      
     310      8      -18.5672      -18.575      0.000971252      31.5377      31.5364      0.00867208      
     311      8      -18.5459      -18.5502      0.000534399      31.6817      31.6751      0.00752451      
     312      8      -18.3798      -18.3742      0.00070441      32.6819      32.6719      0.00304265      
     313      8      -18.7177      -18.7179      3.16377e-05      31.0038      31.0195      0.00652496      
     314      8      -18.5888      -18.5866      0.000281362      31.6042      31.6034      0.00475515      
     315      8      -18.7747      -18.7772      0.000307306      30.6959      30.7181      0.00785572      
     316      8      -18.7436      -18.7523      0.00108432      30.7307      30.7556      0.0100495      
     317      8      -18.7735      -18.7749      0.000174637      30.7355      30.7575      0.00742678      
